Company,Year,Quarter,Revenue,Profit,Expenses,Notes
Acme Corp,2024,Q1,6675042,1631861,5043181,
Acme Corp,2024,Q2,45821635,15546865,30274770,
Acme Corp,2024,Q3,39560008,15373184,24186824,
Acme Corp,2024,Q4,27679803,7445775,20234028,
Globex,2024,Q1,48627692,8333276,40294416,
Globex,2024,Q2,9855961,3836569,6019392,CONFIDENTIAL: Merger talks pending
Globex,2024,Q3,42979904,9501408,33478496,
Globex,2024,Q4,33671670,7516145,26155525,
Soylent Corp,2024,Q1,38894721,6217175,32677546,
Soylent Corp,2024,Q2,10633737,1231759,9401978,
Soylent Corp,2024,Q3,43134336,9606230,33528106,
Soylent Corp,2024,Q4,6748576,2341840,4406736,
Initech,2024,Q1,24167103,9071390,15095713,
Initech,2024,Q2,2468778,286664,2182114,
Initech,2024,Q3,49888923,18561664,31327259,
Initech,2024,Q4,42073862,4562009,37511853,
Umbrella Corp,2024,Q1,30478502,9412653,21065849,
Umbrella Corp,2024,Q2,16909384,4924129,11985255,
Umbrella Corp,2024,Q3,32507440,5032825,27474615,
Umbrella Corp,2024,Q4,20360947,5228819,15132128,
